evID,heatFlow,crustalThick,mantleThick,elevation,strainRate,nAftershocks
8787,0.0812474854834026,29676.931590353,78739.0984185305,-426.661371140684,125.649348854503,0
8788,0.0863697329948564,27983.0111840111,57679.2911740928,-269.563004334334,198.947167628637,3
8789,0.0533985418118882,8086.43445953932,93785.1481804807,-6963.77404060821,179.63797533429,0
8790,0.0500718323210061,12375.9188068412,126352.177692751,-6561.92793587402,14.100271224475,-1
8791,0.0500045613880606,17420.2129268176,132776.240673992,-7342.96026662278,185.857239772211,0
8792,0.086467792060359,27586.9565757354,60241.0447956076,-758.451500000038,182.655458414193,0
8793,0.0519630330384818,15280.6954796218,120837.686794833,-7774.53568353255,140.888764269246,1
8794,0.0515319584722741,15115.8424164125,121654.522371451,-7878.19446440595,86.1960128230559,0
8795,0.0500219275412889,16448.7959863139,128715.237239037,-7177.59384204041,12.3808864280739,0
8796,0.0500354750225041,13556.774640627,129189.550297362,-6765.90841542911,15.2081103210626,-1
8797,0.0500344763730029,13619.7130743623,129419.726882074,-6776.37017835131,16.2764837797764,-1
8798,0.05,12132.6581558341,124846.463547493,-7384.4988669076,13.7197033096802,1
8799,0.067368031043169,21244.9395907194,98696.6022528203,-3470.60210542538,303.780847004215,0
8800,0.0612387062398558,16616.0845611888,117957.283274643,-5196.59239235522,390.399315639964,1
8801,0.0760575430892971,28307.8720207788,88690.678928448,-1195.70580405918,162.38156173975,2
8802,0.0857817689287081,27837.4139174311,58526.6133478443,-293.93293070005,200.531948892657,0
8803,0.0829247105523569,28529.7118794229,69069.6310212972,-364.955677825742,52.5758092051555,0
8804,0.0619995721384876,14795.9608387759,109807.657249321,-4759.99853742502,261.819271806352,1
8805,0.110071757540711,27509.2757595912,35520.1813693843,-351.864488680949,123.855104149905,0
8806,0.0726430529341408,23036.8510866891,87356.1921416517,-2550.29483313482,263.364670325139,0
8807,0.0674772797487923,21175.6527359106,91326.6567603889,-4054.16988476833,445.720774618067,1
8808,0.0819768178985482,26273.9214604051,67991.3348523823,-1153.54925639127,212.165709630722,1
8809,0.0591464638006762,15973.097395736,122190.421753033,-5504.31335153899,380.807342663368,2
8810,0.0810243109874902,25320.8001160448,73959.4797133392,-2001.54562388935,178.238268944344,0
8811,0.0893958011550149,28089.6620163575,57453.0645405443,-901.131480854813,153.218257149722,1
8812,0.0809802433522704,25435.7467278609,73216.1441424221,-1860.62111598981,166.338525756203,1
8813,0.0748370698663787,28440.4094650409,46484.1554103332,-33.717988369385,286.760308791357,0
8814,0.0832088578891468,25314.7044428559,72315.1478549974,-2120.04830904543,254.359905715735,2
8815,0.05,8932.64387237293,106106.056450563,-8369.20165831809,196.759171952345,0
8816,0.0818689691200571,27941.0565966056,69121.6617650918,-438.318556826547,334.397247111023,1
8817,0.0606012080495716,16507.0509138083,119193.954080467,-5297.26066694163,385.552773965139,1
8818,0.0856341194644559,28479.0802258449,61748.1511951664,-217.800845103683,146.531954995946,0
8819,0.0703444582219397,23154.7669518785,88522.8244133931,-3126.21095338793,348.147672637553,0
8820,0.0515858994428813,17552.6807287679,131607.59579676,-6969.77432528195,352.456349139248,0
8821,0.0805578930204743,25901.5902761483,70167.4743732633,-1230.21254466698,222.400271558087,0
8822,0.05005956514572,12379.1245589905,123036.019514293,-6558.62117837736,16.2400592396801,-1
8823,0.080433654314547,26133.3170755459,68663.6947951884,-937.505778219928,157.651329948557,1
8824,0.0893822930412528,28498.3990412451,54831.0882503857,-434.845735488535,165.464600329124,0
8825,0.0839162771233823,20585.2349524314,63494.013248729,-1732.70349772108,267.671293348007,0
8826,0.0680620749270046,15548.2949305616,40130.2705089743,-4777.51070433551,60.8707084736892,0
8827,0.0919237739353155,27119.6611116375,57390.2618004839,-1169.09402970345,364.266258769597,1
8828,0.0795751798256881,25834.1901652454,70453.7343145824,-1067.55397320348,161.440239611591,0
8829,0.0893591256662381,28062.0824086801,57624.4074706986,-923.452640216728,157.702216274296,1
8830,0.0842555574653763,27724.5377980828,61881.0485730651,-313.224741866006,218.8660247607,0
8831,0.0627499720695213,17424.3739981522,114689.259170937,-5001.65475230274,380.324962309459,1
8832,0.0884707433946237,18788.8914530457,59055.1685211137,-2178.44029217246,216.470143942499,0
8833,0.0829868920837668,27728.7731676953,65219.6433297823,-382.642005541242,204.62744784507,1
8834,0.0500096011462589,16068.854906226,133597.72318796,-7153.61893789053,255.921830235204,0
8835,0.0887298098738199,10714.1220414802,75068.5253334233,-2788.28470962093,53.3133086588947,2
8836,0.0918072244481309,9938.6265003911,71543.6811630236,-2817.17188813487,53.2629725435414,1
8837,0.05439382444778,16108.3069294799,129460.302438726,-6069.09635074511,443.921550129054,0
8838,0.0811806982476068,27769.6434323128,70133.1831703691,-480.553502084178,337.193114145648,0
8839,0.05,14676.322087971,127022.621642358,-7794.65500365736,15.4983096938333,0
8840,0.0500485512438263,13061.4970423716,125595.34784364,-6672.44500499937,15.317950909006,-1
8841,0.0702917961810325,21935.7910544084,94065.1306903771,-3225.67872505345,311.879413725628,0
8842,0.0864932560304618,28013.4301079184,57503.0037661657,-265.865121026131,198.82868249584,0
8843,0.0947040133217716,30068.1125656717,45451.6446652104,254.950839939119,138.297085830821,1
8844,0.0702901123974338,18962.4495622079,40158.7675058272,-3597.00770755884,987.418820307781,0
8845,0.0838889362740453,26513.0967441774,66741.8715521648,-1347.66954501044,167.450991522075,0
8846,0.0591014802264724,19685.2971999329,112299.612001936,-5605.45876301497,403.302052887045,1
8847,0.0500461297366008,13213.0634451785,126155.320984167,-6697.67411380892,15.1136382548176,-1
8848,0.05,12978.5445901718,124046.1130812,-7830.59394856313,13.956746528501,1
8849,0.05,12207.8457948446,124575.021438255,-7464.85421992616,10.6064192168696,0
8850,0.0809189703552548,24898.3175290115,76651.9347088795,-2454.49645510484,204.510380573528,0
8851,0.0770183199014174,28037.0608170462,84604.4016227517,-1095.55629597739,223.180985881853,0
8852,0.0656434923391657,17936.0112923847,109065.927805584,-4546.06613650353,384.040617910279,1
8853,0.0595493436196371,17218.6885579085,103593.442282129,-6210.55227137639,455.099523557512,1
8854,0.0640044743881577,17311.558899162,112455.946769066,-4777.52885388509,392.553796598401,1
8855,0.0623228056966711,16687.3505077193,115924.091293937,-5016.32591948441,401.167356221196,0
8856,0.0742501248953852,24181.8633675672,80106.2735949576,-2355.72351943813,393.028134141518,0
8857,0.0922015299671445,29157.0600910439,51027.310070525,-374.411056944097,113.155728573067,0
8858,0.0694639673438304,21500.4071486331,86266.3678120793,-3693.98205792429,464.272614588612,0
8859,0.0948268510096161,29658.5768130138,48202.0505555431,-444.820513002617,154.938270476518,0
8860,0.0713011227418519,23356.7553521136,86221.9562551111,-2940.44342954642,344.411581702404,0
8861,0.0689328357063468,21926.8593402056,89148.1129739355,-3651.58346520977,408.39509566428,0
8862,0.0773779819586068,28812.0289775113,86150.8963643215,-874.379462673077,127.61942357807,0
8863,0.072130553854627,23571.9137959736,84882.8111322602,-2829.73783280529,468.402864124469,0
8864,0.0722662519242729,23124.7517412204,39622.6733166127,-1411.185094122,479.586408055992,0
8865,0.0726039562260934,25583.7612132207,90399.8245723335,-2330.72889867438,207.693117799978,1
8866,0.0726612931174234,25635.8872238865,90395.6696138425,-2310.43883030321,200.493338606787,0
8867,0.0836706126525804,28635.2226526602,67603.9371788956,-321.297929598631,54.6971161600804,0
8868,0.0500188053201202,14315.5132546698,133546.735163619,-6901.91216289084,42.2968800531606,-1
8869,0.0637391767453175,17587.735922393,112773.883210219,-4844.98488952755,382.314606794915,0
8870,0.0876453011000556,27740.6109433227,59430.7965670639,-870.781298487478,149.826369782675,0
