Distanzmaß,TriggerID
0.083445529,388
0.015791726,390
0.028539372,394
0.001708183,254
0.03346622,396
0.00038308,357
0.002013899,396
0.162541783,398
0.024785235,398
0.090987959,380
0.006813962,375
0.07075629,403
0.017724978,404
0.011128577,205
0.066038914,395
0.00342874,407
0.003976534,408
0.003026716,407
0.019964162,410
0.002697511,398
0.010458652,410
0.000157734,357
0.035446409,414
0.047767628,415
0.17682967,388
0.07542587,417
0.309967126,33
0.010217221,419
0.000571733,420
0.036375531,419
0.010753416,420
0.010185968,419
0.011684331,356
0.002420519,419
0.020797722,425
0.015261517,419
0.01510828,420
1.47E-05,429
2.33E-07,430
1.74E-06,430
1.63E-05,430
5.03E-05,430
1.02E-06,434
4.78E-05,429
0.040740016,430
0.016284169,437
0.026325942,407
0.059752743,419
0.105479619,419
0.017293773,276
0.020001652,442
0.01020223,443
0.001310408,444
0.092200727,396
0.033878895,442
0.009814956,419
0.000343277,448
0.008785557,448
0.001661406,448
0.016954153,447
1.19E-07,452
0.018365482,452
0.001376817,447
0.025982345,448
0.043299888,448
0.001428402,448
0.081862269,452
3.56E-05,459
0.006355802,460
0.000150704,459
0.007425083,459
0.068251551,459
0.002385629,460
0.003388217,465
0.023678081,465
0.001602201,467
0.002235597,452
0.008242722,465
2.09E-05,464
0.019563162,448
0.004094485,465
0.008271445,448
0.039347524,465
0.006499251,457
1.63E-06,476
2.61E-06,476
8.36E-06,476
0.143376092,465
0.051708405,476
0.085372254,468
0.003142746,482
0.003210379,483
0.007845072,483
0.028171645,483
0.001618605,483
0.013899163,483
0.002310037,483
0.03654577,483
0.00093134,486
0.011786775,491
0.000752308,490
0.005494058,491
0.019307208,391
0.002898456,495
0.006871147,476
0.016044227,491
0.017647304,491
0.001259342,59
0.002688658,467
0.000591547,487
0.002923709,468
0.000187832,502
0.024805797,483
0.00708613,443
0.008155245,447
0.064441541,483
0.038998253,465
0.000220645,448
0.025650502,451
0.021839182,430
0.033874789,448
0.063278877,465
0.000382249,495
0.01533051,515
0.008937833,515
0.02387282,515
0.021114213,467
0.039607903,517
0.098515134,515
0.030098239,521
0.067783838,447
0.00532234,523
0.028165437,524
0.089240477,437
0.029225288,356
0.036771255,483
0.03401176,483
0.070113576,521
0.032583474,491
0.003236438,360
0.003244052,448
0.070264345,465
0.121254575,483
0.001788611,534
0.031050224,465
0.047594579,537
0.092720075,448
1.71E-05,539
3.94E-06,540
0.002676218,538
6.45E-06,542
0.011000493,524
0.156832671,544
0.033879946,483
0.017992632,546
0.033995352,544
0.007876156,419
0.025557079,483
0.100082833,544
0.001180193,362
0.105299793,199
0.07414936,483
0.001668181,554
0.002321816,542
0.039353106,448
0.01705396,556
0.051495151,556
0.107648021,515
0.030380745,560
0.042493727,448
0.006333977,562
0.008884099,560
9.54E-07,564
0.012359116,560
0.040820279,566
0.007070908,566
7.66E-06,568
1.33E-06,569
1.08E-06,570
0.031689935,270
0.08184635,483
0.022746506,59
0.047045904,573
0.002222005,575
0.026585195,573
0.009490408,319
0.053153362,578
0.258543225,526
0.109889228,483
0.068991844,580
0.06828289,448
0.092042773,483
0.011122735,584
0.105164191,585
0.004880463,586
0.017033858,586
0.05541135,586
0.000385263,589
0.092374624,586
0.00986417,583
0.00570498,419
0.037912362,589
0.010971051,583
0.148167526,588
0.014761507,589
0.014741441,258
0.054223114,598
0.013897588,409
0.033033808,152
0.06632503,600
0.072707886,600
0.050238104,600
0.08138045,603
0.020172758,603
0.036130689,258
0.012039894,607
0.003412454,607
0.00976634,607
0.004188337,607
0.000777433,465
0.003094242,612
0.063209011,610
0.067068264,448
0.007659307,607
4.36E-06,615
0.022087796,608
0.000189134,614
0.020309264,607
0.012432332,620
0.016030896,618
0.003236084,615
0.000675586,396
2.37E-06,624
0.044952849,607
0.010565901,626
0.035655563,626
0.124875083,626
0.226653124,586
0.04600527,630
0.115389761,448
1.32E-06,632
0.11964695,607
0.012201031,634
0.001310836,634
0.037628374,634
0.031218121,634
0.000152887,448
0.095984447,634
0.155052734,634
0.149245044,634
0.012842968,587
0.005896689,643
0.001278461,644
0.070929486,615
0.010415261,645
0.093495455,646
0.015972854,635
0.065963889,645
0.123313153,645
7.72E-07,651
0.148513212,497
0.057061409,653
0.174879153,79
0.083716232,448
0.000982206,656
0.111891627,645
0.222603032,640
0.00485346,483
0.02513652,656
0.04499718,341
0.009204336,662
0.006700252,495
0.093813666,615
0.019709676,662
0.052194312,666
0.240052073,448
0.015023134,448
0.063183966,626
0.000857925,670
0.152683255,662
0.005219024,620
0.00122797,669
1.39E-05,674
0.000596847,675
0.002396056,676
0.0402626,676
0.027741971,678
3.79E-07,679
0.128126794,679
0.066550079,652
0.048543375,418
0.150884308,674
0.032467125,662
0.054250824,685
0.006711615,508
0.00625092,687
0.003958154,688
0.000786031,662
1.54E-05,688
0.032457944,607
0.015907996,684
0.007160816,609
